Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat)
655577078,jane4005,1,40,13,14,0,3,13,3,7,0,0
655577078,kennyhe1,2,40,8,19,0,0,6,2,13,0,0
655577078,Kristjan Sigurdur,3,26,14,10,2,3,0,9,2,0,0
655573307,kennyhe1,1,57,11,16,0,2,12,2,7,18,0
655573307,jane4005,2,53,8,16,0,4,0,7,20,9,-3
655573307,Kristjan Sigurdur,3,49,12,4,26,5,0,10,10,0,-6
655578154,kennyhe1,1,60,9,14,10,2,18,4,0,13,-1
655578154,Kristjan Sigurdur,2,50,10,32,0,0,6,2,0,13,-3
655578154,jane4005,3,42,6,0,43,0,0,3,0,1,-5
655572832,kennyhe1,1,60,11,33,0,3,5,2,7,12,-2
655572832,jane4005,2,57,12,14,16,0,14,9,10,0,-6
655572832,Kristjan Sigurdur,3,42,10,3,1,3,5,6,10,15,-1
655159629,Kristjan Sigurdur,1,55,9,0,48,0,0,3,0,5,-1
655159629,jane4005,2,54,11,23,0,2,6,6,7,10,0
655159629,kennyhe1,3,51,10,32,0,3,10,3,5,0,-2
655157207,kennyhe1,1,75,14,13,48,0,6,1,3,8,-4
655157207,Kristjan Sigurdur,2,52,5,7,0,8,0,10,10,17,0
655157207,jane4005,3,47,10,25,0,0,13,2,10,1,-4
655157025,kennyhe1,1,50,14,10,10,2,12,3,2,12,-1
655157025,jane4005,2,48,10,22,16,2,0,8,5,0,-5
655157025,Kristjan Sigurdur,3,31,2,13,1,0,0,1,10,7,-1
655159423,jane4005,1,51,13,28,0,3,7,8,7,0,-2
655159423,kennyhe1,2,50,8,18,0,0,0,2,20,10,0
655159423,Kristjan Sigurdur,3,47,14,4,26,3,6,1,3,5,-1
655158260,kennyhe1,1,65,12,22,1,3,7,4,10,18,0
655158260,jane4005,2,58,6,0,26,0,18,3,10,5,-4
655158260,Kristjan Sigurdur,3,47,8,32,0,0,0,8,8,3,-4
655143738,Kristjan Sigurdur,1,51,8,20,0,3,6,2,20,0,0
655143738,jane4005,2,47,5,19,0,0,10,8,10,0,0
655143738,kennyhe1,3,45,9,10,31,2,0,2,0,0,0
655142506,jane4005,1,60,12,30,0,6,0,4,10,13,-3
655142506,kennyhe1,2,59,10,18,0,0,15,4,10,13,-1
655142506,Kristjan Sigurdur,3,53,2,0,48,0,0,6,3,1,-5
655141683,kennyhe1,1,55,10,23,0,4,7,3,10,10,-2
655141683,Kristjan Sigurdur,2,55,8,27,0,0,0,0,13,16,-1
655141683,jane4005,3,50,13,8,43,0,0,4,0,0,-5
655054464,aspam1729,1,53,10,11,9,3,15,3,10,5,-3
655054464,Kristjan Sigurdur,1,53,8,12,0,4,0,3,20,16,-2
655054464,jane4005,3,49,9,12,16,4,10,6,0,4,-3
655054464,kennyhe1,4,49,13,22,13,0,6,1,0,10,-3
655040445,jane4005,1,58,6,23,0,2,9,6,3,16,-1
655040445,kennyhe1,2,53,8,13,0,4,11,3,20,5,-3
655040445,aspam1729,3,49,14,6,31,0,0,3,3,10,-4
655040445,Kristjan Sigurdur,4,44,10,20,0,3,6,4,10,4,-3
655035944,Kristjan Sigurdur,1,60,14,3,48,0,0,3,3,5,-2
655035944,aspam1729,2,54,10,33,1,0,15,6,2,0,-3
